Rk,Team,Conf,G,Rec,AdjOE,AdjDE,Barthag,EFG%,EFGD%,TOR,TORD,ORB,DRB,FTR,FTRD,2P%,2P%D,3P%,3P%D,3PR,3PRD,Adj T.,WAB,School,Seed Rank,Round Finished,Year
19,"Texas  7 seed, R32",B12,34,21-13,116.6,96.5,.8980,53.0,48.1,16.9,18.8,29.9,30.1,30.2,34.0,53.1,47.0,35.4,33.5,34.9,32.9,67.4,+0.7,Texas,7 seed,R32,2024
20,"Clemson  6 seed, Elite Eight",ACC,36,24-12,117.7,97.4,.8978,53.9,48.2,14.8,13.9,27.2,26.6,30.7,32.1,54.6,47.1,35.1,33.1,39.9,41.1,66.3,+1.0,Clemson,6 seed,Elite Eight,2024
21,"Kansas  4 seed, R32",B12,34,23-11,113.7,94.2,.8971,53.5,48.3,16.5,16.5,25.7,26.5,32.5,28.5,54.7,45.8,33.6,34.6,29.8,41.0,69.0,+3.8,Kansas,4 seed,R32,2024
22,"Florida  7 seed, R64",SEC,36,24-12,120.5,100.2,.8936,51.8,49.3,15.7,14.5,37.3,28.8,38.4,34.8,51.8,49.5,34.5,32.6,34.5,32.4,71.8,+2.8,Florida,7 seed,R64,2024
23,"Colorado  10 seed, R32",P12,37,26-11,118.3,98.6,.8902,55.4,49.7,18.1,15.2,32.0,24.7,35.1,27.3,54.0,50.6,39.1,32.1,30.6,35.2,67.7,+1.7,Colorado,10 seed,R32,2024
24,"BYU  6 seed, R64",B12,34,23-11,119.8,99.9,.8897,54.8,48.2,15.3,16.0,32.8,24.6,25.4,32.0,57.5,48.3,34.8,32.0,50.4,34.0,69.1,+2.3,BYU,6 seed,R64,2024
25,"Wisconsin  5 seed, R64",B10,36,22-14,118.8,99.1,.8892,52.2,52.0,14.9,16.9,30.2,24.5,33.8,33.8,52.2,50.2,34.9,36.9,35.5,34.3,65.2,+2.9,Wisconsin,5 seed,R64,2024
26,"Nebraska  8 seed, R64",B10,34,23-11,116.0,96.9,.8882,53.1,46.7,15.8,16.2,27.6,30.3,32.6,27.7,52.8,45.2,35.7,32.5,44.3,41.4,69.0,+2.0,Nebraska,8 seed,R64,2024
27,"Kentucky  3 seed, R64",SEC,33,23-10,122.7,102.7,.8863,57.2,49.6,14.2,15.9,28.9,30.3,30.4,33.5,54.7,49.4,40.9,33.2,37.5,40.1,72.5,+2.8,Kentucky,3 seed,R64,2024
28,"San Diego St.  5 seed, Sweet Sixteen",MWC,37,26-11,112.0,94.1,.8802,49.9,47.3,16.2,18.1,32.7,28.7,36.7,33.1,51.5,47.8,31.5,31.0,38.0,40.3,66.2,+2.2,San Diego St.,5 seed,Sweet Sixteen,2024
29,"New Mexico  11 seed, R64",MWC,36,26-10,113.9,96.0,.8774,50.5,48.1,14.0,19.3,33.5,27.0,33.2,33.4,51.1,49.2,32.7,30.7,29.9,36.5,72.8,+1.5,New Mexico,11 seed,R64,2024
32,"Texas Tech  6 seed, R64",B12,34,23-11,116.9,99.3,.8669,52.6,49.2,16.5,17.0,30.2,30.3,34.2,27.2,51.6,49.8,35.9,32.2,41.4,38.6,66.5,+2.8,Texas Tech,6 seed,R64,2024
33,"Texas A&M  9 seed, R32",SEC,36,21-15,117.7,100.0,.8667,45.7,50.5,14.1,16.7,42.2,27.9,38.6,31.9,46.8,50.3,29.3,33.8,37.7,44.9,66.1,-0.06,Texas A&M,9 seed,R32,2024
34,"Mississippi St.  8 seed, R64",SEC,35,21-14,112.3,95.5,.8652,51.4,48.0,18.9,18.4,35.4,27.9,37.4,31.8,53.4,50.3,32.2,29.8,38.5,41.2,67.1,+0.6,Mississippi St.,8 seed,R64,2024
36,"Nevada  10 seed, R64",MWC,34,26-8,115.0,98.1,.8617,53.2,48.4,15.2,17.4,27.3,26.9,45.0,34.2,52.5,49.1,36.4,31.6,33.7,41.0,66.9,+2.5,Nevada,10 seed,R64,2024
37,"Northwestern  9 seed, R32",B10,34,22-12,115.7,98.8,.8592,52.6,51.5,13.4,18.8,25.8,27.8,29.2,39.3,49.2,51.4,39.0,34.5,36.4,37.3,64.0,+1.1,Northwestern,9 seed,R32,2024
39,"Washington St.  7 seed, R32",P12,35,25-10,112.8,96.7,.8549,51.8,47.2,16.4,15.7,32.9,25.0,31.6,32.3,52.2,46.5,33.9,32.5,32.2,31.1,64.8,+1.8,Washington St.,7 seed,R32,2024
43,"Colorado St.  10 seed, R64",MWC,36,25-11,112.8,96.8,.8523,54.2,48.5,15.4,16.6,24.6,26.9,31.8,31.7,57.0,48.0,33.0,33.0,38.2,33.7,66.0,+1.1,Colorado St.,10 seed,R64,2024
